"Sbox","n","ag","amp50","mamp50","posamp50","mposamp50","negamp50","mnegamp50","invamp50","minvamp50","amp100","mamp100","posamp100","mposamp100","negamp100","mnegamp100","invamp100","minvamp100","amp200","mamp200","posamp200","mposamp200","negamp200","mnegamp200","invamp200","minvamp200","tempstab50","tempstab100","tempstab200","precstab50","precstab100","precstab200"
38,305,0,0.000819827404094212,0.00037396392061179,-0.000856206808872567,-0.00038924957399689,0.000789902409841049,0.000367627337562965,1219.76893551741,2674.05475470479,0.00269853721802867,0.00169969700315855,-0.00306891932336305,-0.0020945157632614,0.00244039211431077,0.00162564612311927,370.571135102045,588.340156005275,0.00761275938681013,0.0046967106576524,-0.00586960267942942,-0.00393877886260975,0.00949000507168166,0.0057408296019263,131.358414103117,212.914968132152,665.671027972564,527.028243425636,477.950481852769,34.5719994179638,27.9122406106718,25.736937873793
43,2240,0,0.000766198988933943,0.00025456036373219,-0.000895129650576006,-0.0001530741917368,0.000703430114187149,0.00026935980955632,1305.14398275487,3928.34133852845,0.00244358957142881,0.000997948885361585,-0.00240646974182722,-0.000704497001228386,0.00246421169898525,0.0011491279407139,409.234026733582,1002.0553303566,0.00514120223571157,0.00371966509469936,-0.00258089757924637,-0.00260464975024556,0.00587271785184448,0.0040771851707325,194.507034376872,268.841407637755,569.999030762729,462.986474002951,426.803110159535,49.8562882009704,39.5523990224634,36.123391707824
44,977,0,0.000863351730173022,0.00037142781741111,-0.00088813024147263,-0.000303766567245401,0.000845053752597928,0.00046666695953442,1158.27647649422,2692.31315782997,0.00261139389882885,0.00135480278515067,-0.00304586204202305,-0.0009209031443879,0.00237002270816541,0.00169251143571653,382.937250657006,738.114809742429,0.00679794303736444,0.0039391587989383,-0.00613099577178011,-0.0044985924992366,0.00707876293866311,0.0036977275771147,147.103321475859,253.861306700691,575.758929831945,466.537944013209,429.903998600134,51.0321796920231,40.4771316236891,36.9953934778743
45,605,0,0.000763569013959495,0.000240944164720181,-0.000745998849320824,-0.00019554495765778,0.000777021171260977,0.000319226604707035,1309.63931447989,4150.33915082087,0.00265948501912237,0.000952938670078,-0.00255152725309308,-0.000839714081555874,0.00274045334364434,0.0014167933909131,376.012646361889,1049.3854761064,0.00631202787040919,0.0027029256418023,-0.00361010394186666,-0.00300097153081075,0.0079013948871989,0.0027029256418023,158.427690835778,369.969482154605,2057.76824835861,1754.11307528349,1670.5348782197,44.1841155376764,35.7846152197942,32.7443165024307
46,406,0,0.000747354764805884,0.00031372862843778,-0.000872420184989229,-0.000414847705806254,0.000673372403570666,0.000300751167744299,1338.05261850406,3187.46811529291,0.00230241743159569,0.00138805022337885,-0.0022978185859153,-0.0010821718642297,0.00230562268767596,0.00187620760760904,434.32610710689,720.435026886677,0.00677124468875252,0.0039507833796304,-0.00610789028808375,-0.0024450137599234,0.00722730083921231,0.00526133520247738,147.683335334354,253.114358320894,589.122243460112,475.945544454645,438.460674236612,51.6787517450262,43.0985551277349,39.7841806062969
47,315,0,0.000834225623493057,0.00030486866662815,-0.000867129997746846,-0.000327295526864298,0.000816195829381392,0.00029699355238658,1198.71647650046,3280.10094005399,0.00300110060604487,0.00118961114152031,-0.00330168197887284,-0.00151321668920078,0.00285871995575793,0.00117934605797281,333.211088620549,840.610822391938,0.00857780534942387,0.00458021831102357,-0.00590937612670157,-0.00355782163447387,0.00970135449583327,0.0060407769812765,116.579936156649,218.330204390743,598.534425664603,490.369437275084,451.13349279344,59.1645025840858,43.9613025091464,40.7531522872667
54,274,0,0.000694383468697463,0.000306586642296099,-0.000598767130492518,-0.00022547604782932,0.000795215243531769,0.000386185058267699,1440.12645041193,3261.72070808684,0.00232561256034706,0.00131805794135415,-0.00178775990933805,-0.000703202042936602,0.00299254984759824,0.001531182689181,429.994237669049,758.691988132644,0.00537711411176266,0.0036708683901996,-0.00311604573540041,-0.00270556977951365,0.00718596881285245,0.00758900527547094,185.973364004394,272.415105556434,729.471934601697,595.990438763642,543.340212079617,36.6053791325124,29.3570199368397,26.5414003508238
66,558,0,0.00153414080570621,0.000797863275104449,-0.00179036551044485,-0.000754269001261225,0.00134492871605306,0.00081578093568462,651.830650928857,1253.34757370439,0.00373302768585576,0.00202966705819722,-0.00380530944364811,-0.0020432172712802,0.00366573087687668,0.00201611684511424,267.879074079452,492.691644159715,0.00890152335784443,0.0055002253337719,-0.00924256028321288,-0.0057883301309482,0.00862869381754968,0.0051390934516987,112.340321965089,181.810733073045,641.643223400127,513.954876800979,455.7861955305,43.3182430913357,36.8643927210989,34.2914187865995
68,248,0,0.00129459657539732,0.0006570133508877,-0.00139995185373834,-0.00061677871627141,0.00121393394041747,0.000700389505285167,772.441406847607,1522.03908588598,0.00381431277938334,0.00233988127259231,-0.00429784905079932,-0.00261978265082997,0.00347730265082068,0.00215001052024545,262.17042435667,427.372111445688,0.00694458942989889,0.00401142433547577,-0.00508092091786665,-0.00400126518641736,0.00804086502521197,0.00490053965525129,143.996993644383,249.288012528696,646.850903702194,492.36583649081,446.184635835948,43.4014222395571,35.3898840117306,32.5172784989452
70,236,0,0.00102932969809701,0.000380292091224079,-0.0011450485780557,-0.000380292091224079,0.000946923829035512,0.000373589064895045,971.506021684565,2629.55770860555,0.00313906788513637,0.00158738864730661,-0.00377032547385056,-0.00160341637897952,0.00276031333190785,0.0015713609156337,318.565904463247,629.96544777912,0.00639760557775319,0.0051642085277137,-0.00455661721991267,-0.00345895464737475,0.00748053990589468,0.0067125522845686,156.308479453214,193.640515218064,657.577929967061,537.356219665283,490.729707322861,40.6316733143637,32.7575728123371,29.3354087577689
71,236,0,0.00090119925705285,0.00051100274190913,-0.00101539220825377,-0.00043027309865362,0.000816872154627556,0.000592149683796799,1109.63251708646,1956.93666195205,0.00254521790173414,0.00189227898256903,-0.00268937964491865,-0.00169418049776891,0.00242895843142405,0.00223790906625088,392.893669071975,528.463302299306,0.007533303347073,0.0050120659705698,-0.00906872323027629,-0.0106393578890333,0.00663011518048282,0.0044586625824139,132.743891215869,199.518523074491,670.090590188149,560.782350323872,513.306488474831,35.7648042943662,30.4386641372874,28.3060762264953
81,435,0,0.00097925554319805,0.000540836455666429,-0.00114179212362663,-0.000540836455666429,0.000863509796529209,0.000552786707236774,1021.18390541268,1848.98778461186,0.00286127141834638,0.00163391180772493,-0.00285895216153644,-0.0016156960964923,0.0028634307264108,0.0023957496722302,349.494981003211,612.028137181043,0.00692649935971285,0.0054215161093711,-0.00729644935590581,-0.0040955723185313,0.00667215873733019,0.00584338259616425,144.373073332884,184.450249676746,598.164780918703,477.993295335491,424.901306458238,24.7411310738325,19.3758637392334,17.8076269985384
171,209,0,0.00089838734096106,0.0006377265044736,-0.000961821227468669,-0.000679686693596341,0.000829079946443486,0.000575568688053515,1113.10562204743,1568.07031381804,0.00301308192006117,0.0027517706959598,-0.00332401382729346,-0.0029229812897584,0.00267911801970056,0.0023729952068584,331.886097534215,363.402372686147,0.00792433412542264,0.0072496012391493,-0.00840797077452901,-0.0077715072686919,0.00731978831403968,0.00674097298796095,126.193568339304,137.938621313376,644.873187097825,523.674031123792,475.250067198059,45.2639197411378,36.5508309964872,33.2762575787522
